Название точки привлечения туристов,Кол-во запросов в месяц,Тип точки привлечения туристов,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт
Савватиевский скит,29.0,Достопримечательность,35.605541,False,False,False,False,True,65.117688,False,False,False,False,False,True,False,False,False,False,False,False
Свято-Троицкий Анзерский скит,21.0,Достопримечательность,36.015218,False,False,False,False,True,65.161048,False,False,False,False,False,True,False,False,False,False,False,False
Соловецкий кремль,199.0,Достопримечательность,35.713637,False,False,False,False,True,65.028143,False,False,False,False,False,True,False,False,False,False,False,False
Соловецкий морской музей,53.0,Музей,35.705865,False,False,False,False,True,65.024364,False,False,True,False,False,False,False,False,False,False,False,False
Соловецкий монастырь,15622.0,Достопримечательность,35.717365,False,False,False,False,True,65.024281,False,False,False,False,False,True,False,False,False,False,False,False
"Благовещенский собор (XVI в.), экспозиционный комплекс",130.0,Музей,46.924626,False,False,False,False,True,61.327791,False,False,True,False,False,False,False,False,False,False,False,False
Введенский собор,118.0,Достопримечательность,46.928389,True,True,False,False,False,61.333007,False,False,False,False,False,True,False,False,False,False,False,False
Дом купцов Пьянковых (I пол. XIX в.),194.0,Музей,46.932067,True,True,False,False,False,61.331277,False,False,True,False,False,False,False,False,False,False,False,False
Литературная усадьба и музей Козьмы Пруткова,49.0,Достопримечательность,46.929015,True,True,False,False,False,61.331288,False,False,False,False,False,True,False,False,False,False,False,False
Музей политической ссылки (музей И.В. Сталина),90.0,Музей,46.934791,True,True,False,False,False,61.331951,False,False,True,False,False,False,False,False,False,False,False,False
"Санаторий ""Сольвычегодск""",4380.0,Санаторий,46.931559,True,True,False,False,False,61.331642,False,False,False,False,False,False,False,False,False,True,False,False
Сольвычегодский историко-художественный музей,143.0,Музей,46.931293,True,True,False,False,False,61.330122,False,False,True,False,False,False,False,False,False,False,False,False
"Экспозиционно-выставочный комплекс ""Дом купцов Хаминовых""",15.0,Музей,46.928978,True,True,False,False,False,61.330416,False,False,True,False,False,False,False,False,False,False,False,False
"""Малиновка"", Центр активного отдыха",200.0,Горнолыжный курорт,43.357443,True,True,False,False,False,61.12472,False,False,False,False,False,False,False,False,False,False,False,True
Устьянский краеведческий музей,84.0,Музей,43.162053,True,True,False,False,False,61.090365,False,False,True,False,False,False,False,False,False,False,False,False
Устьянский центр народного творчества,23.0,Этнический центр,43.292886,True,True,False,False,False,61.111688,False,True,False,False,False,False,False,False,False,False,False,False
Историко-мемориальный музей М.В. Ломоносова,126.0,Достопримечательность,41.733645,True,True,False,False,False,64.2302,False,False,False,False,False,True,False,False,False,False,False,False
Село Ломоносово,4073.0,Достопримечательность,41.732359,True,True,False,False,False,64.22938,False,False,False,False,False,True,False,False,False,False,False,False
Фабрика Холмогорской резьбы по кости,37.0,Этнический центр,41.733516,True,True,False,False,False,64.230262,False,True,False,False,False,False,False,False,False,False,False,False
"Церковь Димитрия Солунского, с. Ломоносово",38.0,Достопримечательность,41.739181,True,True,False,False,False,64.23162,False,False,False,False,False,True,False,False,False,False,False,False
Шенкурский районный краеведческий музей,150.0,Достопримечательность,42.902558,True,True,False,False,False,62.103525,False,False,False,False,False,True,False,False,False,False,False,False
