Название точки привлечения туристов,Кол-во запросов в месяц,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт,Коэффициент удаленности от гостинниц
Дом Сени Малины,5.0,40.873168,False,False,False,False,True,64.477736,False,False,False,False,False,True,False,False,False,False,False,False,6.56
Музей Лоцманской славы,9.0,40.437487,True,True,False,False,False,64.595441,False,False,False,False,False,True,False,False,False,False,False,False,68.0
Музей народных промыслов и ремесел Приморья,62.0,40.847891,True,True,False,False,False,64.477552,False,False,True,False,False,False,False,False,False,False,False,False,8.349999999999998
Музей поморской варежки,10.0,40.806877,True,True,False,False,False,64.416813,False,False,True,False,False,False,False,False,False,False,False,False,24.169999999999998
"Санаторий ""Беломорье""",12400.0,40.888114,True,True,False,False,False,64.2945,False,False,False,False,False,False,False,False,False,True,False,False,19.68
Свято-Троицкий Антониево-Сийский мужской монастырь,1079.0,42.090065,True,True,False,False,False,63.581279,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Храм Вознесения Господня,5.0,40.34131,True,True,False,False,False,64.577047,False,False,False,False,False,True,False,False,False,False,False,False,7.869999999999997
Храмовый ансамбль в селе Нёнокса,24.0,39.191683,True,True,False,False,False,64.620519,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Яреньгский музей «Поморская изба»,96.0,34.62589,True,True,False,False,False,66.706467,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Остров Ягры,1687.0,39.825897,True,True,False,False,False,64.61882,False,False,False,False,False,False,False,False,False,False,True,False,108.07
Северодвинский драматический театр,1500.0,39.795789,True,True,False,False,False,64.55172,True,False,False,False,False,False,False,False,False,False,False,False,170.03999999999996
Северодвинский краеведческий музей,300.0,39.281036,True,True,False,False,False,64.623892,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Голгофо-Распятский скит,109.0,36.04829,True,True,False,False,False,65.146848,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Савватиевский скит,29.0,35.605541,False,False,False,False,True,65.117688,False,False,False,False,False,True,False,False,False,False,False,False,3.5599999999999996
Свято-Троицкий Анзерский скит,21.0,36.015218,False,False,False,False,True,65.161048,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Соловецкий кремль,199.0,35.713637,False,False,False,False,True,65.028143,False,False,False,False,False,True,False,False,False,False,False,False,49.87
Соловецкий морской музей,53.0,35.705865,False,False,False,False,True,65.024364,False,False,True,False,False,False,False,False,False,False,False,False,50.59
Соловецкий монастырь,15622.0,35.717365,False,False,False,False,True,65.024281,False,False,False,False,False,True,False,False,False,False,False,False,50.08
"Благовещенский собор (XVI в.), экспозиционный комплекс",130.0,46.924626,False,False,False,False,True,61.327791,False,False,True,False,False,False,False,False,False,False,False,False,28.42
