0,1,2,Широта,Долгота
Гостиница «Заря» ФГУП «Управление гостиничным хозяйством» Минобороны России,ФГУП «Управление гостиничным хозяйством» Минобороны России,"Архангельская обл., г. Мирный, ул. Ленина, д. 34, корп. 1, 2, 3",62.757944,40.331940
"Гостиница ""Околица"" ООО ""Каскад""","ООО ""Каскад""","165780, Архангельская область, Ленский р-н., с. Яренск, ул. Кишерская, д. 3",62.165151,49.091816
«Гостиница-Мирный» АО «КБСМ»,АО «КБСМ»,"164170, Архангельская область, г. Мирный, ул. Мира, д.29",62.769421,40.335615
"Отель ""Прибрежный"" ИП Зыков Юрий Викторович",ИП Зыков Юрий Викторович,"164570, Архангельская область, Виноградовский р-н., п. Березник, ул. Набережная, д. 8",62.856644,42.732409
Отель «Hermitage» ИП Касьянова Яна Андреевна,ИП Касьянова Яна Андреевна,"164501, Архангельская область, г. Северодвинск, ул. Торцева, д. 28А",64.566848,39.824776
Санаторий «Беломорье» ООО «Фишка»,ООО «Фишка»,"Архангельская область, Приморский район, п. Беломорье, д.20",64.294096,40.890252
Гостиница «Ростов» ООО «Регион – Няндома»,ООО «Регион – Няндома»,"город Няндома, ул. Урицкого д.7",61.670201,40.201083
"Гостиница ""Меридиан"" ОАО ""СМП""","ОАО ""Северное морское пароходство""","163017, г. Архангельск, ул. Советская, д. 5",64.570170,40.523051
Гостиница «Двинская» ИП Хмарук Любовь Степановна,ИП Хмарук Любовь Степановна,"165502, Архангельская обл., Верхнетоемский  р-н, п. Двинской, ул. Лесная, д. 19",62.158396,45.121820
База отдыха «Кий-остров» ИП Степанов Алексей Петрович,ИП Степанов Алексей Петрович,"164840, Архангельская область, Белое море, остров Кий",63.995972,37.891702
Гостиница «Вилегодское подворье» ИП Марковский Виталий Вениаминович,ИП Марковский Виталий Вениаминович,"165680. Архангельская обл., Вилегодский р-н,  с. И-Подомское, ул. Спортивная, д. 3",61.122201,47.966892
Гостиница «Северные зори» ООО «Северные зори»,ООО «Северные зори»,"165720, РФ, Архангельская обл., Ленский район, п. Урдома,  ул Калинина, д.5",61.752865,48.502566
Загородный отель «Гостевой дом «Аленушка» ИП Цурко Елена Юрьевна,ИП Цурко Елена Юрьевна,"164840, Архангельская область, Онежский район, город Онега,  улица Мулина, дом 30",63.908116,38.116310
Гостиница «Комнаты отдыха» ИП Шиловская Светлана Александровна,Индивидуальный предприниматель Шиловская Светлана Александровна,"165300, Архангельская обл., г. Котлас, ул. Кирова, д. 64, Г",61.255994,46.626952
"Гостиница ФГАУ ДПО ""Архангельский АУЦ""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АРХАНГЕЛЬСКИЙ АВИАЦИОННЫЙ УЧЕБНЫЙ ЦЕНТР""","Архангельская область,  п.Талажский авиагородок, ул.Аэропорт Архангельск,  д.5",64.593591,40.712114
Отель «Lime» ООО  «Гостиничный комплекс «Лазурит»,Общество с ограниченной ответственностью «Гостиничный комплекс «Лазурит»,"164500, Архангельская обл., г. Северодвинск, ул. Первомайская, д. 8",64.571478,39.838879
Хостел № 2 Федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации,Федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации,"г. Архангельск, Набережная Северной Двины, д. 139, корпус 2",64.565603,40.537807
Хостел № 1 Федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации,Федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации,"г. Архангельск, Набережная Северной Двины, д. 139",64.566503,40.538584
База отдыха «Лукоморье»,ООО «РеалКом»,"163530, Архангельская область, Приморский район, территория СНТ Транспортник, ул. База отдыха «РеалКом», стр. 11",64.673922,40.722491
